Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0002"
"0.0200","0.0000","0.0002"
"0.0400","0.0003","0.0002"
"0.0600","0.0009","0.0002"
"0.0800","0.0029","0.0002"
"0.1000","0.0083","0.0003"
"0.1200","0.0166","0.0002"
"0.1400","0.0260","0.0002"
"0.1600","0.0351","0.0002"
"0.1800","0.0437","0.0003"
"0.2000","0.0514","0.0003"
"0.2200","0.0585","0.0003"
"0.2400","0.0655","0.0003"
"0.2600","0.0731","0.0003"
"0.2800","0.0812","0.0003"
"0.3000","0.0891","0.0003"
"0.3200","0.0974","0.0003"
"0.3400","0.1054","0.0003"
"0.3600","0.1128","0.0004"
"0.3800","0.1200","0.0004"
"0.4000","0.1277","0.0004"
"0.4200","0.1359","0.0004"
"0.4400","0.1442","0.0004"
"0.4600","0.1528","0.0004"
"0.4800","0.1607","0.0004"
"0.5000","0.1683","0.0004"
"0.5200","0.1760","0.0005"
"0.5400","0.1845","0.0005"
"0.5600","0.1932","0.0005"
"0.5800","0.2018","0.0005"
"0.6000","0.2095","0.0005"
"0.6200","0.2164","0.0005"
"0.6400","0.2233","0.0005"
"0.6600","0.2312","0.0005"
"0.6800","0.2398","0.0005"
"0.7000","0.2483","0.0005"
"0.7200","0.2566","0.0005"
"0.7400","0.2643","0.0005"
"0.7600","0.2718","0.0005"
"0.7800","0.2796","0.0006"
"0.8000","0.2882","0.0006"
"0.8200","0.2965","0.0006"
"0.8400","0.3048","0.0006"
"0.8600","0.3127","0.0006"
"0.8800","0.3200","0.0006"
"0.9000","0.3272","0.0006"
"0.9200","0.3349","0.0006"
"0.9400","0.3432","0.0006"
"0.9600","0.3518","0.0006"
"0.9800","0.3607","0.0006"
"1.0000","0.3690","0.0006"
"1.0200","0.3764","0.0007"
"1.0400","0.3836","0.0007"
"1.0600","0.3915","0.0007"
"1.0800","0.3998","0.0007"
"1.1000","0.4083","0.0007"
"1.1200","0.4164","0.0007"
"1.1400","0.4236","0.0007"
"1.1600","0.4307","0.0007"
"1.1800","0.4386","0.0007"
"1.2000","0.4472","0.0007"
"1.2200","0.4558","0.0007"
"1.2400","0.4642","0.0007"
"1.2600","0.4721","0.0008"
"1.2800","0.4796","0.0008"
"1.3000","0.4875","0.0008"
"1.3200","0.4961","0.0008"
"1.3400","0.5046","0.0008"
"1.3600","0.5129","0.0008"
"1.3800","0.5210","0.0008"
"1.4000","0.5283","0.0008"
"1.4200","0.5355","0.0008"
"1.4400","0.5432","0.0008"
"1.4600","0.5516","0.0008"
"1.4800","0.5604","0.0008"
"1.5000","0.5692","0.0008"
"1.5200","0.5772","0.0008"
"1.5400","0.5843","0.0009"
"1.5600","0.5915","0.0009"
"1.5800","0.5995","0.0009"
"1.6000","0.6079","0.0009"
"1.6200","0.6165","0.0009"
"1.6400","0.6248","0.0009"
"1.6600","0.6322","0.0009"
"1.6800","0.6393","0.0009"
"1.7000","0.6471","0.0009"
"1.7200","0.6557","0.0009"
"1.7400","0.6645","0.0009"
"1.7600","0.6731","0.0009"
"1.7800","0.6808","0.0009"
"1.8000","0.6880","0.0010"
"1.8200","0.6953","0.0010"
"1.8400","0.7034","0.0010"
"1.8600","0.7117","0.0010"
"1.8800","0.7201","0.0010"
"1.9000","0.7284","0.0010"
"1.9200","0.7360","0.0010"
"1.9400","0.7434","0.0010"
"1.9600","0.7511","0.0010"
"1.9800","0.7593","0.0010"
"2.0000","0.7674","0.0010"
"2.0200","0.7760","0.0010"
"2.0400","0.7842","0.0010"
"2.0600","0.7919","0.0010"
"2.0800","0.7996","0.0010"
"2.1000","0.8079","0.0010"
"2.1200","0.8164","0.0011"
"2.1400","0.8249","0.0011"
"2.1600","0.8331","0.0011"
"2.1800","0.8403","0.0011"
"2.2000","0.8474","0.0011"
"2.2200","0.8553","0.0011"
"2.2400","0.8641","0.0011"
"2.2600","0.8729","0.0011"
"2.2800","0.8814","0.0011"
"2.3000","0.8891","0.0011"
"2.3200","0.8964","0.0011"
"2.3400","0.9039","0.0011"
"2.3600","0.9119","0.0011"
"2.3800","0.9200","0.0011"
"2.4000","0.9281","0.0011"
"2.4200","0.9364","0.0011"
"2.4400","0.9440","0.0011"
"2.4600","0.9513","0.0012"
"2.4800","0.9590","0.0012"
"2.5000","0.9675","0.0012"
"2.5200","0.9763","0.0012"
"2.5400","0.9854","0.0012"
"2.5600","0.9933","0.0012"
"2.5800","1.0004","0.0012"
"2.6000","1.0075","0.0012"
"2.6200","1.0155","0.0012"
"2.6400","1.0239","0.0012"
"2.6600","1.0325","0.0012"
"2.6800","1.0405","0.0012"
"2.7000","1.0476","0.0012"
"2.7200","1.0545","0.0012"
"2.7400","1.0623","0.0013"
"2.7600","1.0712","0.0012"
"2.7800","1.0800","0.0012"
"2.8000","1.0886","0.0012"
"2.8200","1.0963","0.0013"
"2.8400","1.1036","0.0013"
"2.8600","1.1114","0.0013"
"2.8800","1.1199","0.0013"
"2.9000","1.1284","0.0013"
"2.9200","1.1369","0.0013"
"2.9400","1.1450","0.0013"
"2.9600","1.1524","0.0013"
"2.9800","1.1595","0.0013"
"3.0000","1.1672","0.0013"
"3.0200","1.1758","0.0013"
"3.0400","1.1845","0.0013"
"3.0600","1.1935","0.0013"
"3.0800","1.2015","0.0013"
"3.1000","1.2085","0.0013"
"3.1200","1.2155","0.0014"
"3.1400","1.2233","0.0014"
"3.1600","1.2316","0.0014"
"3.1800","1.2402","0.0014"
"3.2000","1.2486","0.0014"
"3.2200","1.2560","0.0014"
"3.2400","1.2632","0.0014"
"3.2600","1.2712","0.0014"
"3.2800","1.2800","0.0014"
"3.3000","1.2888","0.0014"
"3.3200","1.2972","0.0014"
"3.3400","1.3048","0.0014"
"3.3600","1.3119","0.0014"
"3.3800","1.3192","0.0014"
"3.4000","1.3271","0.0014"
"3.4200","1.3352","0.0014"
"3.4400","1.3434","0.0014"
"3.4600","1.3518","0.0014"
"3.4800","1.3598","0.0014"
"3.5000","1.3673","0.0014"
"3.5200","1.3749","0.0015"
"3.5400","1.3830","0.0014"
"3.5600","1.3914","0.0015"
"3.5800","1.4004","0.0015"
"3.6000","1.4087","0.0015"
"3.6200","1.4160","0.0015"
"3.6400","1.4232","0.0015"
"3.6600","1.4313","0.0015"
"3.6800","1.4399","0.0015"
"3.7000","1.4488","0.0015"
"3.7200","1.4572","0.0015"
"3.7400","1.4647","0.0015"
"3.7600","1.4720","0.0015"
"3.7800","1.4798","0.0015"
"3.8000","1.4885","0.0015"
"3.8200","1.4969","0.0015"
"3.8400","1.5051","0.0015"
"3.8600","1.5126","0.0015"
"3.8800","1.5197","0.0015"
"3.9000","1.5269","0.0015"
"3.9200","1.5349","0.0015"
"3.9400","1.5433","0.0015"
"3.9600","1.5517","0.0016"
"3.9800","1.5605","0.0016"
"4.0000","1.5687","0.0016"
"4.0200","1.5763","0.0016"
"4.0400","1.5840","0.0016"
"4.0600","1.5922","0.0016"
"4.0800","1.6005","0.0016"
"4.1000","1.6089","0.0016"
"4.1200","1.6167","0.0016"
"4.1400","1.6237","0.0016"
"4.1600","1.6308","0.0016"
"4.1800","1.6388","0.0016"
"4.2000","1.6474","0.0016"
"4.2200","1.6561","0.0016"
"4.2400","1.6645","0.0016"
"4.2600","1.6719","0.0016"
"4.2800","1.6791","0.0016"
"4.3000","1.6868","0.0016"
"4.3200","1.6955","0.0016"
"4.3400","1.7041","0.0016"
"4.3600","1.7126","0.0016"
"4.3800","1.7205","0.0016"
"4.4000","1.7278","0.0016"
"4.4200","1.7353","0.0017"
"4.4400","1.7435","0.0017"
"4.4600","1.7519","0.0017"
"4.4800","1.7602","0.0017"
"4.5000","1.7688","0.0017"
"4.5200","1.7768","0.0017"
"4.5400","1.7843","0.0017"
"4.5600","1.7918","0.0017"
"4.5800","1.8000","0.0017"
"4.6000","1.8084","0.0017"
"4.6200","1.8171","0.0017"
"4.6400","1.8252","0.0017"
"4.6600","1.8324","0.0017"
"4.6800","1.8394","0.0017"
"4.7000","1.8471","0.0017"
"4.7200","1.8557","0.0017"
"4.7400","1.8645","0.0017"
"4.7600","1.8730","0.0017"
"4.7800","1.8806","0.0017"
"4.8000","1.8877","0.0017"
"4.8200","1.8955","0.0017"
"4.8400","1.9042","0.0017"
"4.8600","1.9127","0.0017"
"4.8800","1.9209","0.0017"
"4.9000","1.9284","0.0017"
"4.9200","1.9354","0.0018"
"4.9400","1.9429","0.0018"
"4.9600","1.9512","0.0018"
"4.9800","1.9597","0.0018"
"5.0000","1.9682","0.0018"
"5.0200","1.9767","0.0018"
"5.0400","1.9845","0.0018"
"5.0600","1.9919","0.0018"
"5.0800","1.9994","0.0018"
"5.1000","2.0074","0.0018"
"5.1200","2.0155","0.0018"
"5.1400","2.0239","0.0018"
"5.1600","2.0321","0.0018"
"5.1800","2.0397","0.0018"
"5.2000","2.0472","0.0018"
"5.2200","2.0552","0.0018"
"5.2400","2.0639","0.0018"
"5.2600","2.0728","0.0018"
"5.2800","2.0814","0.0018"
"5.3000","2.0890","0.0018"
"5.3200","2.0962","0.0018"
"5.3400","2.1038","0.0018"
"5.3600","2.1123","0.0018"
"5.3800","2.1206","0.0018"
"5.4000","2.1288","0.0018"
"5.4200","2.1364","0.0018"
"5.4400","2.1436","0.0019"
"5.4600","2.1512","0.0019"
"5.4800","2.1594","0.0019"
"5.5000","2.1679","0.0019"
"5.5200","2.1762","0.0019"
"5.5400","2.1847","0.0019"
"5.5600","2.1928","0.0019"
"5.5800","2.2003","0.0019"
"5.6000","2.2078","0.0019"
"5.6200","2.2158","0.0019"
"5.6400","2.2239","0.0019"
"5.6600","2.2324","0.0019"
"5.6800","2.2406","0.0019"
"5.7000","2.2479","0.0019"
"5.7200","2.2548","0.0019"
"5.7400","2.2626","0.0019"
"5.7600","2.2715","0.0019"
"5.7800","2.2808","0.0019"
"5.8000","2.2896","0.0019"
"5.8200","2.2970","0.0019"
"5.8400","2.3037","0.0019"
"5.8600","2.3108","0.0019"
"5.8800","2.3189","0.0019"
"5.9000","2.3274","0.0019"
"5.9200","2.3359","0.0019"
"5.9400","2.3442","0.0019"
"5.9600","2.3517","0.0019"
"5.9800","2.3592","0.0020"
"6.0000","2.3674","0.0020"
"6.0200","2.3761","0.0020"
"6.0400","2.3848","0.0020"
"6.0600","2.3936","0.0020"
"6.0800","2.4015","0.0020"
"6.1000","2.4087","0.0020"
"6.1200","2.4159","0.0020"
"6.1400","2.4238","0.0020"
"6.1600","2.4320","0.0020"
"6.1800","2.4405","0.0020"
"6.2000","2.4487","0.0020"
"6.2200","2.4561","0.0020"
"6.2400","2.4633","0.0020"
"6.2600","2.4712","0.0020"
"6.2800","2.4800","0.0020"
"6.3000","2.4888","0.0020"
"6.3200","2.4973","0.0020"
"6.3400","2.5046","0.0020"
"6.3600","2.5114","0.0020"
"6.3800","2.5188","0.0020"
"6.4000","2.5273","0.0020"
"6.4200","2.5361","0.0020"
"6.4400","2.5447","0.0020"
"6.4600","2.5527","0.0020"
"6.4800","2.5601","0.0020"
"6.5000","2.5676","0.0020"
"6.5200","2.5758","0.0020"
"6.5400","2.5842","0.0020"
"6.5600","2.5924","0.0021"
"6.5800","2.6008","0.0020"
"6.6000","2.6085","0.0020"
"6.6200","2.6157","0.0021"
"6.6400","2.6228","0.0021"
"6.6600","2.6305","0.0021"
"6.6800","2.6387","0.0021"
"6.7000","2.6476","0.0021"
"6.7200","2.6565","0.0021"
"6.7400","2.6646","0.0021"
"6.7600","2.6721","0.0021"
"6.7800","2.6801","0.0021"
"6.8000","2.6886","0.0021"
"6.8200","2.6971","0.0021"
"6.8400","2.7054","0.0021"
"6.8600","2.7128","0.0021"
"6.8800","2.7199","0.0021"
"6.9000","2.7275","0.0021"
"6.9200","2.7359","0.0021"
"6.9400","2.7442","0.0021"
"6.9600","2.7524","0.0021"
"6.9800","2.7601","0.0021"
"7.0000","2.7674","0.0021"
"7.0200","2.7751","0.0021"
"7.0400","2.7834","0.0021"
"7.0600","2.7920","0.0021"
"7.0800","2.8001","0.0021"
"7.1000","2.8085","0.0021"
"7.1200","2.8163","0.0021"
"7.1400","2.8238","0.0021"
"7.1600","2.8313","0.0021"
"7.1800","2.8392","0.0021"
"7.2000","2.8475","0.0022"
"7.2200","2.8561","0.0022"
"7.2400","2.8647","0.0021"
"7.2600","2.8725","0.0022"
"7.2800","2.8798","0.0022"
"7.3000","2.8876","0.0022"
"7.3200","2.8960","0.0022"
"7.3400","2.9044","0.0022"
"7.3600","2.9127","0.0022"
"7.3800","2.9200","0.0022"
"7.4000","2.9268","0.0022"
"7.4200","2.9341","0.0022"
"7.4400","2.9427","0.0022"
"7.4600","2.9517","0.0022"
"7.4800","2.9604","0.0022"
"7.5000","2.9685","0.0022"
"7.5200","2.9760","0.0022"
"7.5400","2.9836","0.0022"
"7.5600","2.9918","0.0022"
"7.5800","3.0003","0.0022"
"7.6000","3.0086","0.0022"
"7.6200","3.0170","0.0022"
"7.6400","3.0247","0.0022"
"7.6600","3.0319","0.0022"
"7.6800","3.0393","0.0022"
"7.7000","3.0474","0.0022"
"7.7200","3.0560","0.0022"
"7.7400","3.0649","0.0022"
"7.7600","3.0733","0.0022"
"7.7800","3.0808","0.0022"
"7.8000","3.0879","0.0022"
"7.8200","3.0955","0.0022"
"7.8400","3.1038","0.0022"
"7.8600","3.1122","0.0022"
"7.8800","3.1206","0.0022"
"7.9000","3.1281","0.0022"
"7.9200","3.1352","0.0023"
"7.9400","3.1426","0.0023"
"7.9600","3.1512","0.0023"
"7.9800","3.1601","0.0023"
"8.0000","3.1690","0.0023"
"8.0200","3.1772","0.0023"
"8.0400","3.1846","0.0023"
"8.0600","3.1917","0.0023"
"8.0800","3.1993","0.0023"
"8.1000","3.2075","0.0023"
"8.1200","3.2157","0.0023"
"8.1400","3.2241","0.0023"
"8.1600","3.2322","0.0023"
"8.1800","3.2397","0.0023"
"8.2000","3.2471","0.0023"
"8.2200","3.2551","0.0023"
"8.2400","3.2635","0.0023"
"8.2600","3.2723","0.0023"
"8.2800","3.2809","0.0023"
"8.3000","3.2883","0.0023"
"8.3200","3.2953","0.0023"
"8.3400","3.3029","0.0023"
"8.3600","3.3115","0.0023"
"8.3800","3.3204","0.0023"
"8.4000","3.3291","0.0023"
"8.4200","3.3367","0.0023"
"8.4400","3.3436","0.0023"
"8.4600","3.3509","0.0023"
"8.4800","3.3593","0.0023"
"8.5000","3.3683","0.0023"
"8.5200","3.3772","0.0023"
"8.5400","3.3852","0.0023"
"8.5600","3.3924","0.0023"
"8.5800","3.3997","0.0023"
"8.6000","3.4076","0.0023"
"8.6200","3.4158","0.0023"
"8.6400","3.4238","0.0023"
"8.6600","3.4322","0.0023"
"8.6800","3.4404","0.0023"
"8.7000","3.4481","0.0023"
"8.7200","3.4558","0.0024"
"8.7400","3.4639","0.0023"
"8.7600","3.4722","0.0024"
"8.7800","3.4807","0.0024"
"8.8000","3.4892","0.0024"
"8.8200","3.4968","0.0024"
"8.8400","3.5039","0.0024"
"8.8600","3.5114","0.0024"
"8.8800","3.5197","0.0024"
"8.9000","3.5282","0.0024"
"8.9200","3.5366","0.0024"
"8.9400","3.5442","0.0024"
"8.9600","3.5512","0.0024"
"8.9800","3.5586","0.0024"
"9.0000","3.5669","0.0024"
"9.0200","3.5757","0.0024"
"9.0400","3.5844","0.0024"
"9.0600","3.5926","0.0024"
"9.0800","3.6001","0.0024"
"9.1000","3.6076","0.0024"
"9.1200","3.6156","0.0024"
"9.1400","3.6240","0.0024"
"9.1600","3.6322","0.0024"
"9.1800","3.6406","0.0024"
"9.2000","3.6486","0.0024"
"9.2200","3.6561","0.0024"
"9.2400","3.6638","0.0024"
"9.2600","3.6720","0.0024"
"9.2800","3.6805","0.0024"
"9.3000","3.6892","0.0024"
"9.3200","3.6975","0.0024"
"9.3400","3.7049","0.0024"
"9.3600","3.7118","0.0024"
"9.3800","3.7192","0.0024"
"9.4000","3.7276","0.0024"
"9.4200","3.7360","0.0024"
"9.4400","3.7445","0.0024"
"9.4600","3.7522","0.0024"
"9.4800","3.7592","0.0024"
"9.5000","3.7662","0.0024"
"9.5200","3.7741","0.0024"
"9.5400","3.7828","0.0024"
"9.5600","3.7914","0.0024"
"9.5800","3.7996","0.0024"
"9.6000","3.8072","0.0025"
"9.6200","3.8147","0.0025"
"9.6400","3.8225","0.0025"
"9.6600","3.8306","0.0025"
"9.6800","3.8388","0.0025"
"9.7000","3.8473","0.0025"
"9.7200","3.8557","0.0025"
"9.7400","3.8633","0.0025"
"9.7600","3.8708","0.0025"
"9.7800","3.8791","0.0025"
"9.8000","3.8876","0.0025"
"9.8200","3.8965","0.0025"
"9.8400","3.9054","0.0025"
"9.8600","3.9135","0.0025"
"9.8800","3.9211","0.0025"
"9.9000","3.9290","0.0025"
"9.9200","3.9374","0.0025"
"9.9400","3.9458","0.0025"
"9.9600","3.9541","0.0025"
"9.9800","3.9617","0.0025"
"10.0000","3.9688","0.0025"
"10.0200","3.9761","0.0025"
"10.0400","3.9844","0.0025"
"10.0600","3.9930","0.0025"
"10.0800","4.0014","0.0025"
"10.1000","4.0092","0.0025"
"10.1200","4.0163","0.0025"
"10.1400","4.0234","0.0025"
"10.1600","4.0311","0.0025"
"10.1800","4.0395","0.0025"
"10.2000","4.0478","0.0025"
"10.2200","4.0565","0.0025"
"10.2400","4.0648","0.0025"
"10.2600","4.0725","0.0025"
"10.2800","4.0799","0.0025"
"10.3000","4.0877","0.0025"
"10.3200","4.0960","0.0025"
"10.3400","4.1046","0.0025"
"10.3600","4.1131","0.0025"
"10.3800","4.1205","0.0025"
"10.4000","4.1274","0.0025"
"10.4200","4.1346","0.0025"
"10.4400","4.1428","0.0025"
"10.4600","4.1516","0.0025"
"10.4800","4.1605","0.0025"
"10.5000","4.1685","0.0025"
"10.5200","4.1757","0.0025"
"10.5400","4.1829","0.0026"
"10.5600","4.1910","0.0026"
"10.5800","4.1998","0.0026"
"10.6000","4.2084","0.0026"
"10.6200","4.2166","0.0025"
"10.6400","4.2240","0.0026"
"10.6600","4.2312","0.0026"
"10.6800","4.2390","0.0026"
"10.7000","4.2474","0.0026"
"10.7200","4.2558","0.0026"
"10.7400","4.2645","0.0026"
"10.7600","4.2730","0.0026"
"10.7800","4.2807","0.0026"
"10.8000","4.2881","0.0026"
"10.8200","4.2959","0.0026"
"10.8400","4.3041","0.0026"
"10.8600","4.3124","0.0026"
"10.8800","4.3208","0.0026"
"10.9000","4.3285","0.0026"
"10.9200","4.3358","0.0026"
"10.9400","4.3434","0.0026"
"10.9600","4.3517","0.0026"
"10.9800","4.3601","0.0026"
"11.0000","4.3686","0.0026"
"11.0200","4.3766","0.0026"
"11.0400","4.3839","0.0026"
"11.0600","4.3912","0.0026"
"11.0800","4.3994","0.0026"
"11.1000","4.4081","0.0026"
"11.1200","4.4166","0.0026"
"11.1400","4.4247","0.0026"
"11.1600","4.4322","0.0026"
"11.1800","4.4395","0.0026"
"11.2000","4.4473","0.0026"
"11.2200","4.4556","0.0026"
"11.2400","4.4638","0.0026"
"11.2600","4.4721","0.0026"
"11.2800","4.4802","0.0026"
"11.3000","4.4877","0.0026"
"11.3200","4.4950","0.0026"
"11.3400","4.5030","0.0026"
"11.3600","4.5114","0.0026"
"11.3800","4.5200","0.0026"
"11.4000","4.5286","0.0026"
"11.4200","4.5362","0.0026"
"11.4400","4.5433","0.0026"
"11.4600","4.5507","0.0026"
"11.4800","4.5592","0.0026"
"11.5000","4.5683","0.0026"
"11.5200","4.5774","0.0026"
"11.5400","4.5853","0.0026"
"11.5600","4.5923","0.0026"
"11.5800","4.5994","0.0026"
"11.6000","4.6076","0.0026"
"11.6200","4.6164","0.0026"
"11.6400","4.6251","0.0026"
"11.6600","4.6332","0.0026"
"11.6800","4.6404","0.0026"
"11.7000","4.6474","0.0027"
"11.7200","4.6550","0.0027"
"11.7400","4.6635","0.0027"
"11.7600","4.6719","0.0027"
"11.7800","4.6806","0.0027"
"11.8000","4.6889","0.0027"
"11.8200","4.6964","0.0027"
"11.8400","4.7038","0.0027"
"11.8600","4.7117","0.0027"
"11.8800","4.7200","0.0027"
"11.9000","4.7282","0.0027"
"11.9200","4.7366","0.0027"
"11.9400","4.7443","0.0027"
"11.9600","4.7515","0.0027"
"11.9800","4.7590","0.0027"
"12.0000","4.7674","0.0027"
"12.0200","4.7762","0.0027"
"12.0400","4.7851","0.0027"
"12.0600","4.7930","0.0027"
"12.0800","4.7998","0.0027"
"12.1000","4.8067","0.0027"
"12.1200","4.8146","0.0027"
"12.1400","4.8231","0.0027"
"12.1600","4.8315","0.0027"
"12.1800","4.8398","0.0027"
"12.2000","4.8473","0.0027"
"12.2200","4.8549","0.0027"
"12.2400","4.8630","0.0027"
"12.2600","4.8718","0.0027"
"12.2800","4.8805","0.0027"
"12.3000","4.8892","0.0027"
"12.3200","4.8975","0.0027"
"12.3400","4.9050","0.0027"
"12.3600","4.9121","0.0027"
"12.3800","4.9197","0.0027"
"12.4000","4.9278","0.0027"
"12.4200","4.9362","0.0027"
"12.4400","4.9448","0.0027"
"12.4600","4.9525","0.0027"
"12.4800","4.9597","0.0027"
"12.5000","4.9671","0.0027"
"12.5200","4.9755","0.0027"
"12.5400","4.9843","0.0027"
"12.5600","4.9930","0.0027"
"12.5800","5.0008","0.0027"
"12.6000","5.0079","0.0027"
"12.6200","5.0150","0.0027"
"12.6400","5.0230","0.0027"
"12.6600","5.0317","0.0027"
"12.6800","5.0404","0.0027"
"12.7000","5.0489","0.0027"
"12.7200","5.0564","0.0027"
"12.7400","5.0636","0.0027"
"12.7600","5.0713","0.0027"
"12.7800","5.0795","0.0027"
"12.8000","5.0878","0.0027"
"12.8200","5.0962","0.0027"
"12.8400","5.1046","0.0027"
"12.8600","5.1124","0.0027"
"12.8800","5.1197","0.0027"
"12.9000","5.1274","0.0027"
"12.9200","5.1356","0.0027"
"12.9400","5.1439","0.0027"
"12.9600","5.1525","0.0027"
"12.9800","5.1606","0.0027"
"13.0000","5.1683","0.0027"
"13.0200","5.1761","0.0027"
"13.0400","5.1847","0.0027"
"13.0600","5.1934","0.0027"
"13.0800","5.2020","0.0027"
"13.1000","5.2096","0.0027"
"13.1200","5.2163","0.0028"
"13.1400","5.2231","0.0028"
"13.1600","5.2309","0.0028"
"13.1800","5.2397","0.0028"
"13.2000","5.2486","0.0028"
"13.2200","5.2572","0.0027"
"13.2400","5.2650","0.0027"
"13.2600","5.2723","0.0028"
"13.2800","5.2799","0.0028"
"13.3000","5.2880","0.0028"
"13.3200","5.2961","0.0028"
"13.3400","5.3043","0.0028"
"13.3600","5.3125","0.0028"
"13.3800","5.3202","0.0028"
"13.4000","5.3275","0.0028"
"13.4200","5.3351","0.0028"
"13.4400","5.3433","0.0028"
"13.4600","5.3518","0.0028"
"13.4800","5.3607","0.0028"
"13.5000","5.3688","0.0028"
"13.5200","5.3762","0.0028"
"13.5400","5.3835","0.0028"
"13.5600","5.3917","0.0028"
"13.5800","5.4003","0.0028"
"13.6000","5.4088","0.0028"
"13.6200","5.4163","0.0028"
"13.6400","5.4226","0.0028"
"13.6600","5.4290","0.0028"
"13.6800","5.4365","0.0028"
"13.7000","5.4450","0.0028"
"13.7200","5.4537","0.0028"
"13.7400","5.4626","0.0028"
"13.7600","5.4711","0.0028"
"13.7800","5.4791","0.0028"
"13.8000","5.4872","0.0028"
"13.8200","5.4959","0.0028"
"13.8400","5.5041","0.0028"
"13.8600","5.5124","0.0028"
"13.8800","5.5208","0.0028"
"13.9000","5.5286","0.0028"
"13.9200","5.5361","0.0028"
"13.9400","5.5437","0.0028"
"13.9600","5.5519","0.0028"
"13.9800","5.5604","0.0028"
"14.0000","5.5692","0.0028"
"14.0200","5.5775","0.0028"
"14.0400","5.5852","0.0028"
"14.0600","5.5928","0.0028"
"14.0800","5.6010","0.0028"
"14.1000","5.6094","0.0028"
"14.1200","5.6178","0.0028"
"14.1400","5.6255","0.0028"
"14.1600","5.6323","0.0028"
"14.1800","5.6391","0.0028"
"14.2000","5.6469","0.0028"
"14.2200","5.6558","0.0028"
"14.2400","5.6646","0.0028"
"14.2600","5.6730","0.0028"
"14.2800","5.6807","0.0028"
"14.3000","5.6881","0.0028"
"14.3200","5.6958","0.0028"
"14.3400","5.7041","0.0028"
"14.3600","5.7123","0.0028"
"14.3800","5.7203","0.0028"
"14.4000","5.7282","0.0028"
"14.4200","5.7357","0.0028"
"14.4400","5.7430","0.0028"
"14.4600","5.7508","0.0028"
"14.4800","5.7593","0.0028"
"14.5000","5.7677","0.0028"
"14.5200","5.7764","0.0028"
"14.5400","5.7846","0.0028"
"14.5600","5.7921","0.0028"
"14.5800","5.7996","0.0028"
"14.6000","5.8076","0.0028"
"14.6200","5.8160","0.0028"
"14.6400","5.8246","0.0028"
"14.6600","5.8328","0.0028"
"14.6800","5.8401","0.0028"
"14.7000","5.8473","0.0028"
"14.7200","5.8554","0.0028"
"14.7400","5.8643","0.0028"
"14.7600","5.8730","0.0028"
"14.7800","5.8813","0.0028"
"14.8000","5.8889","0.0028"
"14.8200","5.8962","0.0028"
"14.8400","5.9039","0.0028"
"14.8600","5.9121","0.0028"
"14.8800","5.9200","0.0028"
"14.9000","5.9280","0.0028"
"14.9200","5.9363","0.0028"
"14.9400","5.9440","0.0028"
"14.9600","5.9513","0.0028"
