Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0001"
"0.0200","0.0000","0.0001"
"0.0400","0.0004","0.0001"
"0.0600","0.0022","0.0001"
"0.0800","0.0072","0.0001"
"0.1000","0.0156","0.0001"
"0.1200","0.0252","0.0001"
"0.1400","0.0336","0.0001"
"0.1600","0.0409","0.0002"
"0.1800","0.0480","0.0002"
"0.2000","0.0556","0.0002"
"0.2200","0.0635","0.0002"
"0.2400","0.0718","0.0002"
"0.2600","0.0798","0.0002"
"0.2800","0.0869","0.0002"
"0.3000","0.0941","0.0002"
"0.3200","0.1021","0.0003"
"0.3400","0.1108","0.0003"
"0.3600","0.1194","0.0003"
"0.3800","0.1278","0.0003"
"0.4000","0.1354","0.0003"
"0.4200","0.1427","0.0003"
"0.4400","0.1503","0.0003"
"0.4600","0.1586","0.0003"
"0.4800","0.1669","0.0003"
"0.5000","0.1754","0.0003"
"0.5200","0.1838","0.0003"
"0.5400","0.1915","0.0004"
"0.5600","0.1989","0.0004"
"0.5800","0.2068","0.0004"
"0.6000","0.2151","0.0004"
"0.6200","0.2237","0.0004"
"0.6400","0.2324","0.0004"
"0.6600","0.2400","0.0004"
"0.6800","0.2470","0.0004"
"0.7000","0.2542","0.0004"
"0.7200","0.2622","0.0005"
"0.7400","0.2706","0.0005"
"0.7600","0.2794","0.0005"
"0.7800","0.2877","0.0005"
"0.8000","0.2952","0.0005"
"0.8200","0.3025","0.0005"
"0.8400","0.3105","0.0005"
"0.8600","0.3192","0.0005"
"0.8800","0.3276","0.0005"
"0.9000","0.3357","0.0005"
"0.9200","0.3430","0.0006"
"0.9400","0.3502","0.0006"
"0.9600","0.3579","0.0006"
"0.9800","0.3664","0.0006"
"1.0000","0.3749","0.0006"
"1.0200","0.3833","0.0006"
"1.0400","0.3915","0.0006"
"1.0600","0.3990","0.0006"
"1.0800","0.4063","0.0006"
"1.1000","0.4140","0.0006"
"1.1200","0.4222","0.0006"
"1.1400","0.4305","0.0007"
"1.1600","0.4392","0.0007"
"1.1800","0.4473","0.0007"
"1.2000","0.4548","0.0007"
"1.2200","0.4621","0.0007"
"1.2400","0.4703","0.0007"
"1.2600","0.4789","0.0007"
"1.2800","0.4877","0.0007"
"1.3000","0.4962","0.0007"
"1.3200","0.5036","0.0007"
"1.3400","0.5109","0.0008"
"1.3600","0.5189","0.0008"
"1.3800","0.5275","0.0008"
"1.4000","0.5358","0.0008"
"1.4200","0.5438","0.0008"
"1.4400","0.5510","0.0008"
"1.4600","0.5582","0.0008"
"1.4800","0.5659","0.0008"
"1.5000","0.5745","0.0008"
