Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0001","0.0000"
"0.0400","0.0005","0.0000"
"0.0600","0.0017","0.0000"
"0.0800","0.0041","0.0001"
"0.1000","0.0091","0.0001"
"0.1200","0.0178","0.0000"
"0.1400","0.0283","0.0000"
"0.1600","0.0390","0.0000"
"0.1800","0.0498","0.0000"
"0.2000","0.0606","0.0000"
"0.2200","0.0707","0.0000"
"0.2400","0.0798","0.0000"
"0.2600","0.0885","0.0000"
"0.2800","0.0981","0.0000"
"0.3000","0.1085","0.0000"
"0.3200","0.1190","0.0000"
"0.3400","0.1284","0.0000"
"0.3600","0.1374","0.0001"
"0.3800","0.1472","0.0001"
"0.4000","0.1578","0.0001"
"0.4200","0.1684","0.0000"
"0.4400","0.1783","0.0001"
"0.4600","0.1878","0.0001"
"0.4800","0.1976","0.0001"
"0.5000","0.2079","0.0001"
"0.5200","0.2183","0.0001"
"0.5400","0.2286","0.0001"
"0.5600","0.2382","0.0001"
"0.5800","0.2478","0.0001"
"0.6000","0.2580","0.0001"
"0.6200","0.2687","0.0001"
"0.6400","0.2790","0.0001"
"0.6600","0.2883","0.0001"
"0.6800","0.2974","0.0001"
"0.7000","0.3073","0.0001"
"0.7200","0.3177","0.0001"
"0.7400","0.3284","0.0001"
"0.7600","0.3381","0.0001"
"0.7800","0.3475","0.0001"
"0.8000","0.3577","0.0001"
"0.8200","0.3683","0.0001"
"0.8400","0.3785","0.0001"
"0.8600","0.3879","0.0001"
"0.8800","0.3971","0.0002"
"0.9000","0.4071","0.0002"
"0.9200","0.4176","0.0002"
"0.9400","0.4281","0.0002"
"0.9600","0.4381","0.0002"
"0.9800","0.4475","0.0002"
"1.0000","0.4570","0.0002"
"1.0200","0.4671","0.0002"
"1.0400","0.4776","0.0002"
"1.0600","0.4880","0.0002"
"1.0800","0.4976","0.0002"
"1.1000","0.5071","0.0002"
"1.1200","0.5173","0.0002"
"1.1400","0.5282","0.0002"
"1.1600","0.5389","0.0002"
"1.1800","0.5484","0.0003"
"1.2000","0.5579","0.0003"
"1.2200","0.5681","0.0003"
"1.2400","0.5785","0.0003"
"1.2600","0.5884","0.0003"
"1.2800","0.5975","0.0003"
"1.3000","0.6069","0.0003"
"1.3200","0.6172","0.0003"
"1.3400","0.6279","0.0003"
"1.3600","0.6386","0.0003"
"1.3800","0.6486","0.0003"
"1.4000","0.6578","0.0004"
"1.4200","0.6674","0.0004"
"1.4400","0.6777","0.0004"
"1.4600","0.6885","0.0004"
"1.4800","0.6986","0.0004"
"1.5000","0.7078","0.0004"
"1.5200","0.7172","0.0004"
"1.5400","0.7274","0.0004"
"1.5600","0.7383","0.0004"
"1.5800","0.7485","0.0004"
"1.6000","0.7575","0.0004"
"1.6200","0.7666","0.0004"
"1.6400","0.7770","0.0004"
"1.6600","0.7877","0.0004"
"1.6800","0.7980","0.0004"
"1.7000","0.8075","0.0004"
"1.7200","0.8172","0.0005"
"1.7400","0.8277","0.0005"
"1.7600","0.8384","0.0005"
"1.7800","0.8490","0.0005"
"1.8000","0.8589","0.0005"
"1.8200","0.8681","0.0005"
"1.8400","0.8778","0.0005"
"1.8600","0.8877","0.0005"
"1.8800","0.8980","0.0005"
"1.9000","0.9078","0.0005"
"1.9200","0.9170","0.0005"
"1.9400","0.9270","0.0005"
"1.9600","0.9378","0.0005"
"1.9800","0.9489","0.0005"
"2.0000","0.9589","0.0005"
"2.0200","0.9680","0.0005"
"2.0400","0.9774","0.0005"
"2.0600","0.9876","0.0005"
"2.0800","0.9981","0.0005"
"2.1000","1.0082","0.0005"
"2.1200","1.0177","0.0006"
"2.1400","1.0275","0.0006"
"2.1600","1.0378","0.0006"
"2.1800","1.0481","0.0006"
"2.2000","1.0583","0.0006"
"2.2200","1.0677","0.0006"
"2.2400","1.0768","0.0006"
"2.2600","1.0867","0.0006"
"2.2800","1.0970","0.0006"
"2.3000","1.1077","0.0006"
"2.3200","1.1179","0.0006"
