Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0001","0.0000"
"0.0400","0.0008","0.0000"
"0.0600","0.0042","0.0000"
"0.0800","0.0121","0.0000"
"0.1000","0.0234","0.0000"
"0.1200","0.0354","0.0000"
"0.1400","0.0466","0.0000"
"0.1600","0.0562","0.0000"
"0.1800","0.0651","0.0000"
"0.2000","0.0745","0.0000"
"0.2200","0.0844","0.0000"
"0.2400","0.0944","0.0000"
"0.2600","0.1037","0.0000"
"0.2800","0.1126","0.0000"
"0.3000","0.1223","0.0000"
"0.3200","0.1328","0.0000"
"0.3400","0.1435","0.0000"
"0.3600","0.1535","0.0000"
"0.3800","0.1628","0.0000"
"0.4000","0.1722","0.0000"
"0.4200","0.1821","0.0000"
"0.4400","0.1921","0.0000"
"0.4600","0.2022","0.0000"
"0.4800","0.2117","0.0000"
"0.5000","0.2212","0.0000"
"0.5200","0.2314","0.0000"
"0.5400","0.2422","0.0000"
"0.5600","0.2531","0.0000"
"0.5800","0.2628","0.0000"
"0.6000","0.2718","0.0000"
"0.6200","0.2813","0.0000"
"0.6400","0.2915","0.0000"
"0.6600","0.3019","0.0000"
"0.6800","0.3116","0.0000"
"0.7000","0.3206","0.0000"
"0.7200","0.3305","0.0000"
"0.7400","0.3413","0.0000"
"0.7600","0.3521","0.0000"
"0.7800","0.3622","0.0000"
"0.8000","0.3717","0.0000"
"0.8200","0.3817","0.0000"
"0.8400","0.3921","0.0000"
"0.8600","0.4027","0.0000"
"0.8800","0.4129","0.0000"
"0.9000","0.4222","0.0000"
"0.9200","0.4315","0.0000"
"0.9400","0.4417","0.0000"
"0.9600","0.4525","0.0000"
"0.9800","0.4632","0.0000"
"1.0000","0.4727","0.0000"
"1.0200","0.4816","0.0000"
"1.0400","0.4914","0.0000"
"1.0600","0.5019","0.0000"
"1.0800","0.5125","0.0000"
"1.1000","0.5222","0.0000"
"1.1200","0.5314","0.0001"
"1.1400","0.5415","0.0001"
"1.1600","0.5523","0.0000"
"1.1800","0.5629","0.0000"
"1.2000","0.5726","0.0000"
"1.2200","0.5817","0.0001"
"1.2400","0.5913","0.0001"
"1.2600","0.6013","0.0001"
"1.2800","0.6116","0.0001"
"1.3000","0.6217","0.0001"
"1.3200","0.6312","0.0001"
"1.3400","0.6406","0.0001"
"1.3600","0.6508","0.0001"
"1.3800","0.6615","0.0001"
"1.4000","0.6723","0.0001"
"1.4200","0.6820","0.0001"
"1.4400","0.6914","0.0001"
"1.4600","0.7017","0.0001"
"1.4800","0.7124","0.0002"
"1.5000","0.7230","0.0001"
"1.5200","0.7326","0.0002"
"1.5400","0.7420","0.0002"
"1.5600","0.7523","0.0002"
"1.5800","0.7629","0.0002"
"1.6000","0.7731","0.0002"
"1.6200","0.7823","0.0002"
"1.6400","0.7912","0.0002"
"1.6600","0.8009","0.0002"
"1.6800","0.8112","0.0002"
"1.7000","0.8219","0.0003"
"1.7200","0.8325","0.0003"
"1.7400","0.8423","0.0003"
"1.7600","0.8521","0.0003"
"1.7800","0.8623","0.0003"
"1.8000","0.8728","0.0003"
"1.8200","0.8826","0.0003"
"1.8400","0.8916","0.0003"
"1.8600","0.9009","0.0004"
"1.8800","0.9111","0.0004"
"1.9000","0.9219","0.0004"
"1.9200","0.9322","0.0004"
"1.9400","0.9416","0.0004"
"1.9600","0.9509","0.0004"
"1.9800","0.9612","0.0004"
"2.0000","0.9719","0.0005"
"2.0200","0.9823","0.0005"
"2.0400","0.9918","0.0005"
"2.0600","1.0012","0.0005"
"2.0800","1.0115","0.0005"
"2.1000","1.0220","0.0005"
"2.1200","1.0328","0.0005"
"2.1400","1.0428","0.0006"
"2.1600","1.0521","0.0006"
"2.1800","1.0619","0.0006"
"2.2000","1.0724","0.0006"
"2.2200","1.0832","0.0006"
"2.2400","1.0930","0.0006"
"2.2600","1.1019","0.0007"
"2.2800","1.1114","0.0007"
"2.3000","1.1218","0.0007"
"2.3200","1.1326","0.0007"
