Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0400","0.0004","0.0000"
"0.0600","0.0013","0.0000"
"0.0800","0.0034","0.0001"
"0.1000","0.0088","0.0001"
"0.1200","0.0193","0.0001"
"0.1400","0.0319","0.0001"
"0.1600","0.0437","0.0001"
"0.1800","0.0534","0.0001"
"0.2000","0.0620","0.0001"
"0.2200","0.0709","0.0001"
"0.2400","0.0800","0.0001"
"0.2600","0.0897","0.0001"
"0.2800","0.0994","0.0001"
"0.3000","0.1087","0.0001"
"0.3200","0.1179","0.0001"
"0.3400","0.1277","0.0001"
"0.3600","0.1381","0.0001"
"0.3800","0.1488","0.0001"
"0.4000","0.1585","0.0001"
"0.4200","0.1677","0.0002"
"0.4400","0.1777","0.0002"
"0.4600","0.1884","0.0002"
"0.4800","0.1991","0.0002"
"0.5000","0.2087","0.0002"
"0.5200","0.2180","0.0002"
"0.5400","0.2280","0.0002"
"0.5600","0.2386","0.0002"
"0.5800","0.2490","0.0002"
"0.6000","0.2585","0.0003"
"0.6200","0.2674","0.0003"
"0.6400","0.2769","0.0003"
"0.6600","0.2869","0.0003"
"0.6800","0.2974","0.0003"
"0.7000","0.3081","0.0003"
"0.7200","0.3181","0.0003"
"0.7400","0.3279","0.0004"
"0.7600","0.3380","0.0004"
"0.7800","0.3483","0.0004"
"0.8000","0.3584","0.0004"
"0.8200","0.3675","0.0004"
"0.8400","0.3766","0.0004"
"0.8600","0.3867","0.0005"
"0.8800","0.3974","0.0005"
"0.9000","0.4080","0.0005"
"0.9200","0.4175","0.0005"
"0.9400","0.4267","0.0005"
"0.9600","0.4369","0.0005"
"0.9800","0.4476","0.0005"
"1.0000","0.4581","0.0006"
"1.0200","0.4678","0.0006"
"1.0400","0.4771","0.0006"
"1.0600","0.4871","0.0006"
"1.0800","0.4976","0.0006"
"1.1000","0.5082","0.0007"
"1.1200","0.5184","0.0007"
"1.1400","0.5278","0.0007"
"1.1600","0.5374","0.0007"
"1.1800","0.5477","0.0007"
"1.2000","0.5586","0.0007"
"1.2200","0.5689","0.0007"
"1.2400","0.5781","0.0008"
"1.2600","0.5872","0.0008"
"1.2800","0.5974","0.0008"
"1.3000","0.6081","0.0008"
"1.3200","0.6185","0.0008"
"1.3400","0.6279","0.0008"
"1.3600","0.6374","0.0009"
"1.3800","0.6479","0.0009"
"1.4000","0.6585","0.0009"
"1.4200","0.6686","0.0009"
"1.4400","0.6778","0.0009"
"1.4600","0.6869","0.0009"
"1.4800","0.6969","0.0010"
"1.5000","0.7073","0.0010"
"1.5200","0.7180","0.0010"
"1.5400","0.7280","0.0010"
"1.5600","0.7374","0.0010"
"1.5800","0.7470","0.0010"
"1.6000","0.7570","0.0010"
"1.6200","0.7674","0.0011"
"1.6400","0.7775","0.0011"
"1.6600","0.7871","0.0011"
"1.6800","0.7969","0.0011"
"1.7000","0.8074","0.0011"
"1.7200","0.8184","0.0011"
"1.7400","0.8289","0.0011"
"1.7600","0.8382","0.0011"
"1.7800","0.8477","0.0012"
"1.8000","0.8580","0.0012"
"1.8200","0.8683","0.0012"
"1.8400","0.8782","0.0012"
"1.8600","0.8875","0.0012"
"1.8800","0.8971","0.0012"
"1.9000","0.9074","0.0012"
"1.9200","0.9177","0.0012"
"1.9400","0.9282","0.0012"
"1.9600","0.9382","0.0012"
"1.9800","0.9476","0.0013"
"2.0000","0.9574","0.0013"
"2.0200","0.9677","0.0013"
"2.0400","0.9782","0.0013"
"2.0600","0.9881","0.0013"
"2.0800","0.9971","0.0013"
"2.1000","1.0065","0.0013"
"2.1200","1.0172","0.0013"
"2.1400","1.0285","0.0013"
"2.1600","1.0387","0.0013"
"2.1800","1.0476","0.0014"
"2.2000","1.0567","0.0014"
"2.2200","1.0667","0.0014"
"2.2400","1.0772","0.0014"
"2.2600","1.0875","0.0014"
"2.2800","1.0971","0.0014"
"2.3000","1.1068","0.0014"
"2.3200","1.1173","0.0014"
