Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0400","0.0003","0.0000"
"0.0600","0.0017","0.0000"
"0.0800","0.0063","0.0000"
"0.1000","0.0145","0.0000"
"0.1200","0.0233","0.0000"
"0.1400","0.0316","0.0000"
"0.1600","0.0398","0.0000"
"0.1800","0.0481","0.0000"
"0.2000","0.0561","0.0000"
"0.2200","0.0641","0.0000"
"0.2400","0.0714","0.0000"
"0.2600","0.0781","0.0000"
"0.2800","0.0851","0.0001"
"0.3000","0.0930","0.0001"
"0.3200","0.1016","0.0001"
"0.3400","0.1102","0.0001"
"0.3600","0.1185","0.0001"
"0.3800","0.1259","0.0001"
"0.4000","0.1330","0.0001"
"0.4200","0.1406","0.0001"
"0.4400","0.1491","0.0001"
"0.4600","0.1576","0.0001"
"0.4800","0.1660","0.0001"
"0.5000","0.1738","0.0001"
"0.5200","0.1811","0.0001"
"0.5400","0.1886","0.0001"
"0.5600","0.1967","0.0001"
"0.5800","0.2051","0.0001"
"0.6000","0.2135","0.0001"
"0.6200","0.2222","0.0001"
"0.6400","0.2304","0.0001"
"0.6600","0.2379","0.0001"
"0.6800","0.2454","0.0002"
"0.7000","0.2536","0.0001"
"0.7200","0.2620","0.0002"
"0.7400","0.2707","0.0002"
"0.7600","0.2788","0.0002"
"0.7800","0.2860","0.0002"
"0.8000","0.2930","0.0002"
"0.8200","0.3007","0.0002"
"0.8400","0.3093","0.0002"
"0.8600","0.3181","0.0002"
"0.8800","0.3267","0.0002"
"0.9000","0.3343","0.0002"
"0.9200","0.3414","0.0002"
"0.9400","0.3491","0.0002"
"0.9600","0.3578","0.0002"
"0.9800","0.3664","0.0002"
"1.0000","0.3747","0.0002"
"1.0200","0.3822","0.0002"
"1.0400","0.3893","0.0002"
"1.0600","0.3966","0.0002"
"1.0800","0.4048","0.0003"
"1.1000","0.4133","0.0003"
"1.1200","0.4217","0.0003"
"1.1400","0.4303","0.0003"
"1.1600","0.4382","0.0003"
"1.1800","0.4456","0.0003"
"1.2000","0.4530","0.0003"
"1.2200","0.4610","0.0003"
"1.2400","0.4691","0.0003"
"1.2600","0.4775","0.0003"
"1.2800","0.4858","0.0003"
"1.3000","0.4935","0.0003"
"1.3200","0.5010","0.0003"
"1.3400","0.5090","0.0003"
"1.3600","0.5177","0.0003"
"1.3800","0.5265","0.0003"
"1.4000","0.5351","0.0003"
"1.4200","0.5427","0.0003"
"1.4400","0.5499","0.0004"
"1.4600","0.5575","0.0004"
"1.4800","0.5660","0.0004"
"1.5000","0.5744","0.0004"
"1.5200","0.5827","0.0004"
"1.5400","0.5904","0.0004"
"1.5600","0.5976","0.0004"
"1.5800","0.6051","0.0004"
"1.6000","0.6133","0.0004"
"1.6200","0.6217","0.0004"
"1.6400","0.6300","0.0004"
"1.6600","0.6385","0.0004"
"1.6800","0.6466","0.0004"
"1.7000","0.6541","0.0004"
"1.7200","0.6615","0.0005"
"1.7400","0.6694","0.0005"
"1.7600","0.6775","0.0005"
"1.7800","0.6861","0.0005"
"1.8000","0.6944","0.0005"
"1.8200","0.7016","0.0005"
"1.8400","0.7085","0.0005"
"1.8600","0.7163","0.0005"
"1.8800","0.7252","0.0005"
"1.9000","0.7345","0.0005"
"1.9200","0.7434","0.0005"
"1.9400","0.7508","0.0005"
"1.9600","0.7574","0.0006"
"1.9800","0.7644","0.0006"
"2.0000","0.7725","0.0006"
"2.0200","0.7810","0.0006"
"2.0400","0.7896","0.0006"
"2.0600","0.7979","0.0006"
"2.0800","0.8054","0.0006"
"2.1000","0.8129","0.0006"
"2.1200","0.8211","0.0006"
"2.1400","0.8298","0.0006"
"2.1600","0.8385","0.0007"
"2.1800","0.8473","0.0007"
"2.2000","0.8552","0.0007"
"2.2200","0.8623","0.0007"
"2.2400","0.8695","0.0007"
"2.2600","0.8775","0.0007"
"2.2800","0.8857","0.0007"
"2.3000","0.8943","0.0007"
"2.3200","0.9025","0.0007"
