Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0003"
"0.0200","0.0000","0.0003"
"0.0400","0.0005","0.0003"
"0.0600","0.0014","0.0003"
"0.0800","0.0032","0.0003"
"0.1000","0.0068","0.0003"
"0.1200","0.0132","0.0003"
"0.1400","0.0209","0.0003"
"0.1600","0.0286","0.0003"
"0.1800","0.0363","0.0004"
"0.2000","0.0447","0.0004"
"0.2200","0.0532","0.0004"
"0.2400","0.0618","0.0004"
"0.2600","0.0695","0.0004"
"0.2800","0.0764","0.0004"
"0.3000","0.0836","0.0004"
"0.3200","0.0918","0.0004"
"0.3400","0.1007","0.0005"
"0.3600","0.1094","0.0005"
"0.3800","0.1177","0.0005"
"0.4000","0.1253","0.0005"
"0.4200","0.1328","0.0005"
"0.4400","0.1408","0.0005"
"0.4600","0.1494","0.0005"
"0.4800","0.1578","0.0006"
"0.5000","0.1663","0.0006"
"0.5200","0.1741","0.0006"
"0.5400","0.1813","0.0006"
"0.5600","0.1885","0.0006"
"0.5800","0.1965","0.0006"
"0.6000","0.2052","0.0006"
"0.6200","0.2140","0.0006"
"0.6400","0.2227","0.0006"
"0.6600","0.2304","0.0007"
"0.6800","0.2374","0.0007"
"0.7000","0.2446","0.0007"
"0.7200","0.2527","0.0007"
"0.7400","0.2611","0.0007"
"0.7600","0.2697","0.0007"
"0.7800","0.2777","0.0007"
"0.8000","0.2849","0.0007"
"0.8200","0.2922","0.0007"
"0.8400","0.3005","0.0008"
"0.8600","0.3094","0.0008"
"0.8800","0.3182","0.0008"
"0.9000","0.3264","0.0008"
"0.9200","0.3338","0.0008"
"0.9400","0.3409","0.0008"
"0.9600","0.3484","0.0008"
"0.9800","0.3564","0.0008"
"1.0000","0.3644","0.0008"
"1.0200","0.3727","0.0009"
"1.0400","0.3811","0.0009"
"1.0600","0.3889","0.0009"
"1.0800","0.3963","0.0009"
"1.1000","0.4039","0.0009"
"1.1200","0.4122","0.0009"
"1.1400","0.4208","0.0009"
"1.1600","0.4297","0.0009"
"1.1800","0.4377","0.0009"
"1.2000","0.4449","0.0010"
"1.2200","0.4523","0.0010"
"1.2400","0.4607","0.0010"
"1.2600","0.4694","0.0010"
"1.2800","0.4782","0.0010"
"1.3000","0.4863","0.0010"
"1.3200","0.4936","0.0010"
"1.3400","0.5010","0.0010"
"1.3600","0.5093","0.0011"
"1.3800","0.5179","0.0011"
"1.4000","0.5263","0.0011"
"1.4200","0.5343","0.0011"
"1.4400","0.5417","0.0011"
"1.4600","0.5487","0.0011"
"1.4800","0.5562","0.0011"
"1.5000","0.5644","0.0011"
"1.5200","0.5727","0.0011"
"1.5400","0.5813","0.0012"
"1.5600","0.5899","0.0012"
"1.5800","0.5978","0.0012"
"1.6000","0.6053","0.0012"
"1.6200","0.6132","0.0012"
"1.6400","0.6215","0.0012"
"1.6600","0.6298","0.0012"
"1.6800","0.6381","0.0012"
"1.7000","0.6456","0.0012"
"1.7200","0.6525","0.0013"
"1.7400","0.6599","0.0013"
"1.7600","0.6681","0.0013"
"1.7800","0.6767","0.0013"
"1.8000","0.6854","0.0013"
"1.8200","0.6935","0.0013"
"1.8400","0.7008","0.0013"
"1.8600","0.7081","0.0013"
"1.8800","0.7162","0.0013"
"1.9000","0.7250","0.0013"
"1.9200","0.7335","0.0014"
"1.9400","0.7419","0.0014"
"1.9600","0.7494","0.0014"
"1.9800","0.7567","0.0014"
"2.0000","0.7645","0.0014"
"2.0200","0.7728","0.0014"
"2.0400","0.7811","0.0014"
"2.0600","0.7896","0.0014"
"2.0800","0.7980","0.0014"
"2.1000","0.8059","0.0014"
"2.1200","0.8134","0.0015"
"2.1400","0.8212","0.0015"
"2.1600","0.8295","0.0015"
"2.1800","0.8380","0.0015"
"2.2000","0.8466","0.0015"
"2.2200","0.8543","0.0015"
"2.2400","0.8613","0.0015"
"2.2600","0.8684","0.0015"
"2.2800","0.8765","0.0015"
"2.3000","0.8852","0.0015"
"2.3200","0.8940","0.0016"
"2.3400","0.9023","0.0016"
"2.3600","0.9096","0.0016"
"2.3800","0.9168","0.0016"
"2.4000","0.9249","0.0016"
"2.4200","0.9337","0.0016"
"2.4400","0.9421","0.0016"
"2.4600","0.9501","0.0016"
"2.4800","0.9573","0.0016"
"2.5000","0.9644","0.0016"
"2.5200","0.9721","0.0017"
"2.5400","0.9805","0.0017"
"2.5600","0.9890","0.0017"
"2.5800","0.9976","0.0017"
"2.6000","1.0060","0.0017"
"2.6200","1.0136","0.0017"
"2.6400","1.0209","0.0017"
"2.6600","1.0285","0.0017"
"2.6800","1.0366","0.0017"
"2.7000","1.0449","0.0017"
"2.7200","1.0534","0.0017"
"2.7400","1.0613","0.0017"
"2.7600","1.0687","0.0018"
"2.7800","1.0763","0.0018"
"2.8000","1.0846","0.0018"
"2.8200","1.0934","0.0018"
"2.8400","1.1023","0.0018"
"2.8600","1.1107","0.0018"
"2.8800","1.1181","0.0018"
"2.9000","1.1252","0.0018"
"2.9200","1.1332","0.0018"
"2.9400","1.1417","0.0018"
"2.9600","1.1499","0.0018"
"2.9800","1.1580","0.0018"
"3.0000","1.1654","0.0019"
"3.0200","1.1727","0.0019"
"3.0400","1.1804","0.0019"
"3.0600","1.1889","0.0019"
"3.0800","1.1973","0.0019"
"3.1000","1.2057","0.0019"
"3.1200","1.2141","0.0019"
"3.1400","1.2219","0.0019"
"3.1600","1.2293","0.0019"
"3.1800","1.2369","0.0019"
"3.2000","1.2450","0.0019"
"3.2200","1.2532","0.0020"
"3.2400","1.2618","0.0019"
"3.2600","1.2697","0.0020"
"3.2800","1.2768","0.0020"
"3.3000","1.2839","0.0020"
"3.3200","1.2921","0.0020"
"3.3400","1.3011","0.0020"
"3.3600","1.3104","0.0020"
"3.3800","1.3187","0.0020"
"3.4000","1.3257","0.0020"
"3.4200","1.3324","0.0020"
"3.4400","1.3398","0.0020"
"3.4600","1.3482","0.0020"
"3.4800","1.3567","0.0021"
"3.5000","1.3653","0.0021"
"3.5200","1.3733","0.0021"
"3.5400","1.3807","0.0021"
"3.5600","1.3884","0.0021"
"3.5800","1.3968","0.0021"
"3.6000","1.4055","0.0021"
